NAME	TITLE	SCORE	
ENSG00000235082		6.4282765	
ENSG00000232454		6.147722	
ENSG00000120278		4.921574	
ENSG00000111341		4.6139536	
ENSG00000169302		4.5413766	
ENSG00000164683		4.0182943	
ENSG00000262001		3.8691347	
ENSG00000135525		3.7250383	
ENSG00000133134		3.6770117	
ENSG00000101255		3.6492836	
ENSG00000111275		3.3911183	
ENSG00000250061		3.366862	
ENSG00000154639		3.344442	
ENSG00000156453		3.1628337	
ENSG00000124107		3.1332798	
ENSG00000122432		3.1165178	
ENSG00000140332		3.109563	
ENSG00000117791		3.0283577	
ENSG00000234975		2.9653938	
ENSG00000156265		2.907441	
ENSG00000250222		2.8895326	
ENSG00000130513		2.8852332	
ENSG00000245468		2.8639336	
ENSG00000245275		2.8549988	
ENSG00000153885		2.8076825	
ENSG00000258102		2.8022463	
ENSG00000115380		2.7562282	
ENSG00000163412		2.7545035	
ENSG00000054690		2.749992	
ENSG00000260916		2.7396145	
ENSG00000075234		2.7170072	
ENSG00000272702		2.6988559	
ENSG00000141337		2.680889	
ENSG00000146592		2.6785774	
ENSG00000105655		2.6708577	
ENSG00000130766		2.6320972	
ENSG00000089041		2.5949445	
ENSG00000230615		2.5824032	
ENSG00000259673		2.5338922	
ENSG00000102362		2.5169609	
ENSG00000271913		2.5165823	
ENSG00000243444		2.4912393	
ENSG00000135069		2.4613352	
ENSG00000172432		2.4613028	
ENSG00000196668		2.4520535	
ENSG00000239467		2.4144974	
ENSG00000225177		2.4027958	
ENSG00000081181		2.4027188	
ENSG00000078018		2.3794613	
ENSG00000128596		2.3687568	
ENSG00000225793		2.3658001	
ENSG00000219507		2.3619664	
ENSG00000232645		2.3619366	
ENSG00000247137		2.342839	
ENSG00000273329		2.3226726	
ENSG00000133624		2.3193796	
ENSG00000255471		2.3109484	
ENSG00000162772		2.3062768	
ENSG00000109323		2.3052628	
ENSG00000069667		2.2780561	
ENSG00000151012		2.2708857	
ENSG00000128965		2.2704468	
ENSG00000241288		2.2654436	
ENSG00000167555		2.2516553	
ENSG00000106070		2.244632	
ENSG00000271576		2.2366545	
ENSG00000088899		2.2353456	
ENSG00000267419		2.2322698	
ENSG00000248508		2.229214	
ENSG00000236778		2.223635	
ENSG00000106948		2.2219076	
ENSG00000163536		2.2215598	
ENSG00000163328		2.1976662	
ENSG00000135842		2.1902597	
ENSG00000204634		2.1728008	
ENSG00000246560		2.1726358	
ENSG00000177337		2.1708531	
ENSG00000135744		2.1679485	
ENSG00000131018		2.1671546	
ENSG00000227540		2.1567965	
ENSG00000126860		2.1473353	
ENSG00000266921		2.1397414	
ENSG00000128294		2.138431	
ENSG00000166033		2.1366146	
ENSG00000006459		2.1319172	
ENSG00000276115		2.1111639	
ENSG00000104419		2.0833569	
ENSG00000059728		2.072381	
ENSG00000073605		2.0697196	
ENSG00000082196		2.0692027	
ENSG00000235217		2.0596387	
ENSG00000121577		2.0582762	
ENSG00000086619		2.0546815	
ENSG00000121413		2.0524552	
ENSG00000082781		2.0512788	
ENSG00000178607		2.0452747	
ENSG00000167992		2.0412827	
ENSG00000074416		2.0408554	
ENSG00000196781		2.0235589	
ENSG00000100889		2.0057917	
ENSG00000223745		2.0042872	
ENSG00000227855		2.000527	
ENSG00000156042		1.9947674	
ENSG00000255248		1.9923705	
ENSG00000218996		1.9865451	
ENSG00000232533		1.9831731	
ENSG00000261087		1.9794613	
ENSG00000201098		1.9766821	
ENSG00000278390		1.9673519	
ENSG00000167995		1.9672796	
ENSG00000224183		1.9660649	
ENSG00000221923		1.9590528	
ENSG00000273619		1.9579319	
ENSG00000163794		1.9428266	
ENSG00000145703		1.9380871	
ENSG00000197016		1.9380233	
ENSG00000065911		1.9306717	
ENSG00000272523		1.910383	
ENSG00000106404		1.908278	
ENSG00000224165		1.8988589	
ENSG00000121039		1.88658	
ENSG00000226471		1.8799578	
ENSG00000233230		1.8780049	
ENSG00000233593		1.8618745	
ENSG00000235194		1.8557972	
ENSG00000139344		1.8550447	
ENSG00000196663		1.853729	
ENSG00000228109		1.8499036	
ENSG00000249709		1.8427365	
ENSG00000138735		1.8379134	
ENSG00000144724		1.8354732	
ENSG00000231999		1.8289154	
ENSG00000177990		1.8238962	
ENSG00000182247		1.8230535	
ENSG00000279673		1.8207972	
ENSG00000205771		1.7974339	
ENSG00000168209		1.7936547	
ENSG00000228288		1.7926884	
ENSG00000154217		1.7895188	
ENSG00000080947		1.7868379	
ENSG00000128564		1.784842	
ENSG00000135318		1.779828	
ENSG00000091039		1.7772127	
ENSG00000196605		1.7716358	
ENSG00000166340		1.7672005	
ENSG00000105928		1.7627496	
ENSG00000171951		1.7584559	
ENSG00000069493		1.7535915	
ENSG00000275055		1.7510685	
ENSG00000188878		1.7474266	
ENSG00000010810		1.7473977	
ENSG00000105696		1.7401081	
ENSG00000116711		1.7397155	
ENSG00000165113		1.7374645	
ENSG00000259431		1.7320243	
ENSG00000198496		1.7298421	
ENSG00000118257		1.7291188	
ENSG00000106066		1.7275722	
ENSG00000183401		1.724958	
ENSG00000095203		1.7106115	
ENSG00000102265		1.7086266	
ENSG00000142065		1.705304	
ENSG00000164406		1.7022628	
ENSG00000185418		1.702114	
ENSG00000153879		1.7002078	
ENSG00000150627		1.6988151	
ENSG00000168792		1.6969808	
ENSG00000174827		1.693461	
ENSG00000101493		1.691276	
ENSG00000277449		1.6817448	
ENSG00000184575		1.6805911	
ENSG00000258704		1.6669872	
ENSG00000261220		1.66677	
ENSG00000139117		1.66581	
ENSG00000116678		1.6628779	
ENSG00000226564		1.6575431	
ENSG00000188559		1.6554736	
ENSG00000259891		1.6519884	
ENSG00000166173		1.650703	
ENSG00000196656		1.6420418	
ENSG00000163083		1.6386819	
ENSG00000183666		1.6382099	
ENSG00000135549		1.6341554	
ENSG00000272335		1.6331617	
ENSG00000272368		1.6296057	
ENSG00000223361		1.6270496	
ENSG00000223509		1.621264	
ENSG00000111962		1.6169815	
ENSG00000272382		1.6151065	
ENSG00000228205		1.6145786	
ENSG00000182700		1.6129364	
ENSG00000071537		1.6118528	
ENSG00000230747		1.6100875	
ENSG00000106799		1.6042902	
ENSG00000257337		1.6018007	
ENSG00000173320		1.6010205	
ENSG00000145730		1.6002095	
ENSG00000003096		1.5994169	
ENSG00000164949		1.5913419	
ENSG00000225138		1.5881573	
ENSG00000251562		1.5847092	
ENSG00000115902		1.5820047	
ENSG00000235706		1.5797305	
ENSG00000081189		1.5792391	
ENSG00000112320		1.5785205	
ENSG00000163644		1.5774088	
ENSG00000196268		1.5763474	
ENSG00000137880		1.5745316	
ENSG00000133639		1.5734552	
ENSG00000128016		1.570028	
ENSG00000224738		1.5691782	
ENSG00000232187		1.5657598	
ENSG00000055163		1.5632813	
ENSG00000111371		1.5623294	
ENSG00000167280		1.5607404	
ENSG00000267152		1.5599792	
ENSG00000112379		1.5591972	
ENSG00000168159		1.5570906	
ENSG00000100307		1.5563437	
ENSG00000162576		1.5543927	
ENSG00000163297		1.5481834	
ENSG00000155085		1.5475254	
ENSG00000197857		1.5455475	
ENSG00000138744		1.5449797	
ENSG00000105281		1.5410737	
ENSG00000228889		1.5316232	
ENSG00000072682		1.5311041	
ENSG00000244627		1.5299116	
ENSG00000148848		1.5281639	
ENSG00000260565		1.5273899	
ENSG00000162490		1.5248787	
ENSG00000176597		1.5205114	
ENSG00000171105		1.5177588	
ENSG00000116584		1.5166326	
ENSG00000106366		1.5128689	
ENSG00000139132		1.5122751	
ENSG00000119950		1.5118197	
ENSG00000225377		1.5108062	
ENSG00000158079		1.5106919	
ENSG00000154127		1.508252	
ENSG00000157800		1.5079727	
ENSG00000197746		1.5041772	
ENSG00000068305		1.4979973	
ENSG00000068615		1.4963475	
ENSG00000111981		1.4961026	
ENSG00000229358		1.4956509	
ENSG00000011422		1.4914626	
ENSG00000204514		1.4902512	
ENSG00000281501		1.4876848	
ENSG00000120885		1.4811028	
ENSG00000182841		1.4787834	
ENSG00000130684		1.4751978	
ENSG00000122971		1.4746963	
ENSG00000124762		1.4718574	
ENSG00000142192		1.4666963	
ENSG00000249222		1.4634783	
ENSG00000247595		1.461944	
ENSG00000133048		1.4573333	
ENSG00000076641		1.4555733	
ENSG00000241399		1.4525563	
ENSG00000235652		1.4467618	
ENSG00000256525		1.4461384	
ENSG00000185730		1.441868	
ENSG00000212664		1.4402593	
ENSG00000163697		1.4392871	
ENSG00000231721		1.4378864	
ENSG00000172216		1.4369476	
ENSG00000168026		1.4368476	
ENSG00000113916		1.4352498	
ENSG00000174718		1.4349064	
ENSG00000171206		1.4247658	
ENSG00000261824		1.423138	
ENSG00000228451		1.4206406	
ENSG00000249242		1.4187537	
ENSG00000157240		1.4172275	
ENSG00000143786		1.4148803	
ENSG00000143036		1.4135301	
